id,Column 1,Column 2,Column 3,Column 4,Column 5
fivefivefive,0,4,0,1,2
fivefivefour,3,2,2,2,2
fivefiveone,2,3,3,4,1
fivefiveroku,0,0,0,1,0
fivefivesix,3,6,3,0,1
fivefivestar,0,0,0,1,0
fivefivethree,2,6,0,3,4
fivefivetwo,0,1,4,5,4
fivefourfive,5,0,3,2,2
fivefourfour,4,2,3,5,9
fivefourone,7,5,7,4,1
fivefourroku,1,1,2,0,0
fivefoursix,3,3,1,4,2
fivefourstar,0,0,1,0,0
fivefourthree,3,10,1,3,6
fivefourtwo,4,2,3,8,4
fiveonefive,2,7,3,4,1
fiveonefour,4,4,3,3,5
fiveoneone,5,8,5,4,6
fiveoneroku,0,1,1,0,0
fiveonesix,3,6,7,2,4
fiveonestar,0,2,1,2,1
fiveonethree,4,1,3,2,4
fiveonetwo,4,6,6,6,4
fiverokufive,1,0,0,0,0
fiverokufour,0,0,0,0,2
fiverokuone,1,1,0,1,0
fiverokusix,0,0,2,1,0
fiverokuthree,1,0,1,0,1
fiverokutwo,0,2,0,0,0
fivesixfive,1,1,1,3,3
fivesixfour,2,5,0,2,2
fivesixone,3,2,1,1,4
fivesixroku,0,1,1,0,0
fivesixsix,1,4,1,1,4
fivesixstar,0,1,0,0,0
fivesixthree,3,2,3,6,2
fivesixtwo,3,5,5,3,4
fivestarfive,1,0,0,0,0
fivestarfour,0,2,0,0,0
fivestarone,1,0,0,0,0
fivestarsix,1,0,1,2,0
fivestarthree,1,0,2,1,0
fivestartwo,1,1,0,1,0
fivethreefive,4,3,2,0,1
fivethreefour,6,2,6,2,7
fivethreeone,2,3,4,2,11
fivethreesix,3,3,2,1,3
fivethreestar,0,0,1,0,0
fivethreethree,2,4,2,2,3
fivethreetwo,6,0,3,3,4
fivetwofive,4,1,2,3,5
fivetwofour,4,4,4,5,7
fivetwoone,3,5,7,4,5
fivetworoku,0,1,0,0,1
fivetwosix,5,2,4,5,2
fivetwostar,0,0,1,2,0
fivetwothree,3,1,2,5,5
fivetwotwo,3,4,1,3,5
fourfivefive,3,2,4,5,0
fourfivefour,2,4,5,3,1
fourfiveone,5,3,5,5,4
fourfiveroku,0,0,1,2,0
fourfivesix,0,2,2,1,1
fourfivestar,0,0,0,0,1
fourfivethree,5,4,5,5,6
fourfivetwo,4,4,1,4,2
fourfourfive,1,5,2,5,2
fourfourfour,4,5,5,6,3
fourfourone,9,6,4,7,0
fourfourroku,0,1,1,0,1
fourfoursix,3,2,7,2,3
fourfourstar,0,1,1,1,0
fourfourthree,7,3,0,3,3
fourfourtwo,4,1,4,3,5
fouronefive,7,7,3,8,2
fouronefour,5,6,4,5,4
fouroneone,5,6,10,3,7
fouroneroku,0,1,0,0,1
fouronesix,4,7,4,5,9
fouronestar,1,1,0,1,2
fouronethree,7,5,5,3,7
fouronetwo,8,7,6,8,7
fourrokufive,0,0,0,1,2
fourrokufour,2,1,1,0,1
fourrokuone,1,0,0,1,0
fourrokusix,0,0,1,0,1
fourrokustar,0,0,0,1,0
fourrokuthree,1,0,1,1,1
fourrokutwo,0,2,1,1,0
foursixfive,3,2,2,3,4
foursixfour,6,6,4,2,4
foursixone,7,0,1,3,5
foursixroku,0,0,1,0,0
foursixsix,1,0,2,3,2
foursixstar,0,0,1,0,0
foursixthree,6,7,2,5,5
foursixtwo,2,2,5,5,1
fourstarfive,1,1,0,0,0
fourstarfour,0,1,0,1,0
fourstarone,0,1,0,1,1
fourstarsix,0,0,1,1,0
fourstarstar,0,1,0,0,0
fourstarthree,0,2,0,0,0
fourstartwo,1,1,1,1,0
fourthreefive,8,2,1,3,1
fourthreefour,5,7,5,4,3
fourthreeone,8,8,6,8,2
fourthreeroku,1,0,0,1,0
fourthreesix,6,1,1,6,3
fourthreestar,1,1,1,0,0
fourthreethree,5,3,15,4,1
fourthreetwo,3,5,12,3,10
fourtwofive,2,2,1,3,2
fourtwofour,5,5,7,5,4
fourtwoone,6,2,5,2,9
fourtworoku,1,2,0,1,0
fourtwosix,1,5,2,2,4
fourtwostar,1,0,1,1,0
fourtwothree,6,2,2,4,5
fourtwotwo,3,8,6,5,3
onefivefive,5,1,2,3,1
onefivefour,6,4,3,9,8
onefiveone,6,5,9,7,4
onefiveroku,1,0,0,1,1
onefivesix,6,4,0,1,3
onefivestar,0,1,0,1,0
onefivethree,9,3,4,5,6
onefivetwo,1,7,0,4,2
onefourfive,4,5,2,2,3
onefourfour,5,6,6,6,4
onefourone,7,5,11,3,6
onefourroku,1,1,0,0,2
onefoursix,7,6,1,5,4
onefourstar,2,1,0,0,1
onefourthree,4,3,10,1,3
onefourtwo,7,5,2,10,3
oneonefive,4,6,5,9,2
oneonefour,3,9,7,6,7
oneoneone,6,8,6,7,9
