cell,star,roku,one,two,three,four,five,six
symbol_r0_c0,22,25,206,163,165,177,125,117
symbol_r0_c1,24,24,178,159,185,176,130,124
symbol_r0_c2,15,20,222,156,159,181,119,128
symbol_r0_c3,11,21,208,177,158,163,140,122
symbol_r0_c4,27,19,214,160,160,175,127,118
symbol_r1_c0,24,30,194,168,150,189,123,122
symbol_r1_c1,18,27,176,168,174,168,121,148
symbol_r1_c2,18,30,215,168,157,166,133,113
symbol_r1_c3,21,19,207,169,170,175,122,117
symbol_r1_c4,13,22,219,169,158,167,125,127
symbol_r2_c0,24,30,180,161,161,156,139,149
symbol_r2_c1,22,27,186,178,165,165,131,126
symbol_r2_c2,13,24,218,174,170,145,144,112
symbol_r2_c3,14,29,205,197,158,146,119,132
symbol_r2_c4,23,21,195,180,170,173,114,124
